001001101101110100 UUUUUUUUUUUUUUUUUU 000000000000000000 UUUUUUUUUUUUUUUUUU 001100100100001111 UUUUUUUUUUUUUUUUUU
001001101101110100 000000000000000000 000000000000000000 000000000000000000 001100100100001111 000000000000000000
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 000000000000000000
001001101101110100 001000100000000110 000000000000000000 000111010010010111 001100100100001111 111000100101001111
001001101101110100 001001011010011000 000000000000000000 000110001110010111 001100100100001111 111100100000000101
001001101101110100 001001110011010001 000000000000000000 000101101000101110 001100100100001111 111110011111011010
001001101101110100 001001111110100010 000000000000000000 000101010101001000 001100100100001111 111111011111010100
001001101101110100 001010000011110111 000000000000000000 000101001011001010 001100100100001111 111111111111010011
001001101101110100 001010000110011100 000000000000000000 000101000110001001 001100100100001111 000000001111010010
001001101101110100 001010000101001011 000000000000000000 000101001000101010 001100100100001111 000000000111010011
001001101101110100 001010000100100010 000000000000000000 000101001001111010 001100100100001111 000000000011010100
001001101101110100 001010000100001110 000000000000000000 000101001010100010 001100100100001111 000000000001010101
001001101101110100 000100111001101100 000000000000000000 001111001110110000 001100100100001111 000000000001010101
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 000000000000000000
001001101101110100 001000100000000110 000000000000000000 000111010010010111 001100100100001111 111000100101001111
001001101101110100 001001011010011000 000000000000000000 000110001110010111 001100100100001111 111100100000000101
001001101101110100 001001110011010001 000000000000000000 000101101000101110 001100100100001111 111110011111011010
001001101101110100 001001111110100010 000000000000000000 000101010101001000 001100100100001111 111111011111010100
001001101101110100 001010000011110111 000000000000000000 000101001011001010 001100100100001111 111111111111010011
001001101101110100 001010000110011100 000000000000000000 000101000110001001 001100100100001111 000000001111010010
001001101101110100 001010000101001011 000000000000000000 000101001000101010 001100100100001111 000000000111010011
001001101101110100 001010000100100010 000000000000000000 000101001001111010 001100100100001111 000000000011010100
001001101101110100 001010000100001110 000000000000000000 000101001010100010 001100100100001111 000000000001010101
001001101101110100 000100111001101100 000000000000000000 001111001110110000 001100100100001111 000000000001010101
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 000000000000000000
001001101101110100 001000100000000110 000000000000000000 000111010010010111 001100100100001111 111000100101001111
001001101101110100 001001011010011000 000000000000000000 000110001110010111 001100100100001111 111100100000000101
001001101101110100 001001110011010001 000000000000000000 000101101000101110 001100100100001111 111110011111011010
001001101101110100 001001111110100010 000000000000000000 000101010101001000 001100100100001111 111111011111010100
001001101101110100 001010000011110111 000000000000000000 000101001011001010 001100100100001111 111111111111010011
001001101101110100 001010000110011100 000000000000000000 000101000110001001 001100100100001111 000000001111010010
001001101101110100 001010000101001011 000000000000000000 000101001000101010 001100100100001111 000000000111010011
001001101101110100 001010000100100010 000000000000000000 000101001001111010 001100100100001111 000000000011010100
001001101101110100 001010000100001110 000000000000000000 000101001010100010 001100100100001111 000000000001010101
001001101101110100 000100111001101100 000000000000000000 001111001110110000 001100100100001111 000000000001010101
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 000000000000000000
001001101101110100 001000100000000110 000000000000000000 000111010010010111 001100100100001111 111000100101001111
001001101101110100 001001011010011000 000000000000000000 000110001110010111 001100100100001111 111100100000000101
001001101101110100 001001110011010001 000000000000000000 000101101000101110 001100100100001111 111110011111011010
001001101101110100 001001111110100010 000000000000000000 000101010101001000 001100100100001111 111111011111010100
001001101101110100 001010000011110111 000000000000000000 000101001011001010 001100100100001111 111111111111010011
001001101101110100 001010000110011100 000000000000000000 000101000110001001 001100100100001111 000000001111010010
001001101101110100 001010000101001011 000000000000000000 000101001000101010 001100100100001111 000000000111010011
001001101101110100 001010000100100010 000000000000000000 000101001001111010 001100100100001111 000000000011010100
001001101101110100 001010000100001110 000000000000000000 000101001010100010 001100100100001111 000000000001010101
001001101101110100 000100111001101100 000000000000000000 001111001110110000 001100100100001111 000000000001010101
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 000000000000000000
001001101101110100 001000100000000110 000000000000000000 000111010010010111 001100100100001111 111000100101001111
001001101101110100 001001011010011000 000000000000000000 000110001110010111 001100100100001111 111100100000000101
001001101101110100 001001110011010001 000000000000000000 000101101000101110 001100100100001111 111110011111011010
